Coordinates,Timestamp,Velocity,force,azimuth
"409.5,31.5",582900.5399999999,0.0,0.3333333333333333,0.6726271351191582
"409.5,31.5",582900.549,0.0,0.3333333333333333,0.6726271351191582
"409.0,31.5",582900.5569999999,29.41176471877263,0.3333333333333333,0.6726271351191582
"408.5,31.0",582900.565,44.721359508345785,0.3333333333333333,0.6726271351191582
"407.5,30.5",582900.5739999999,65.76670524940559,0.2637020111083984,0.6726271351191582
"407.0,30.5",582900.5819999999,64.1091048226725,0.23278299967447916,0.6726271351191582
"406.5,30.0",582900.5909999999,65.76670524940559,0.21802139282226562,0.6726271351191582
"406.0,30.0",582900.5989999999,64.54045004052513,0.20961825052897134,0.6726271351191582
"405.0,30.0",582900.607,70.79726100721336,0.19551099141438802,0.6726271351191582
"404.5,29.5",582900.6159999999,70.85743167195412,0.18876368204752605,0.6726271351191582
"403.5,29.5",582900.624,75.29232521372178,0.2067401885986328,0.6726271351191582
"402.5,29.5",582900.632,79.13162917763928,0.17582117716471354,0.6726271351191582
"401.5,29.5",582900.641,81.64565593325071,0.17352244059244792,0.6726271351191582
"400.5,29.5",582900.649,84.58297662977265,0.15439872741699218,0.6726271351191582
"399.5,29.5",582900.6569999999,87.16272675097775,0.1480871836344401,0.6726271351191582
"398.0,29.5",582900.666,92.63982163117934,0.14740651448567707,0.6726271351191582
"396.5,29.5",582900.674,98.15631664393305,0.15004196166992187,0.6726271351191582
"394.5,29.5",582900.6819999999,106.56863345926448,0.15009727478027343,0.6726271351191582
"393.0,29.5",582900.691,110.0713253695613,0.1644878387451172,0.6726271351191582
"391.5,29.5",582900.6989999999,113.90421558473044,0.16626853942871095,0.6726271351191582
"390.0,29.5",582900.7069999999,117.37901665900753,0.17130279541015625,0.6726271351191582
"388.0,29.5",582900.7159999999,122.68649366154227,0.1750603993733724,0.6726271351191582
"386.5,30.0",582900.7239999999,125.26554968577312,0.18260955810546875,0.6726271351191582
"385.0,30.0",582900.732,127.8431011055547,0.1875170389811198,0.6726271351191582
"383.0,30.5",582900.7409999999,131.93463289666352,0.1941485087076823,0.6726271351191582
"381.5,31.0",582900.749,133.9926503619044,0.1973901112874349,0.6726271351191582
"379.5,31.5",582900.757,138.24884788651366,0.20147857666015626,0.6726271351191582
"377.5,32.0",582900.766,141.6102035760244,0.19812151590983074,0.6726271351191582
"375.0,32.5",582900.774,147.4978192424783,0.2014813741048177,0.6726271351191582
"372.5,33.5",582900.7819999999,153.1157629421637,0.2042566935221354,0.6726271351191582
"370.0,34.5",582900.791,157.8237459285191,0.2074872334798177,0.6726271351191582
"367.5,35.5",582900.799,162.8959313000558,0.21244964599609376,0.6726271351191582
"364.5,36.5",582900.8069999999,169.57650071891584,0.2149738311767578,0.6726271351191582
"361.5,37.5",582900.816,175.2664727441516,0.21405131022135418,0.6726271351191582
"359.0,39.0",582900.8239999999,179.76722921180985,0.21429316202799478,0.6726271351191582
"355.5,40.0",582900.8319999999,187.20852116263083,0.21673583984375,0.6726271351191582
"352.0,41.5",582900.8409999999,193.89730117600564,0.2196423848470052,0.6726271351191582
"348.5,43.0",582900.8489999999,200.88851763748065,0.2217853546142578,0.6726271351191582
"344.5,45.0",582900.857,209.42309853947904,0.21872291564941407,0.6726271351191582
"341.0,46.5",582900.8659999999,215.1015522540774,0.22026100158691406,0.6726271351191582
"337.5,48.5",582900.874,221.49618846021872,0.21768684387207032,0.6726271351191582
"334.0,50.5",582900.882,227.64336277116323,0.2189202626546224,0.6726271351191582
"330.0,52.0",582900.891,233.9046954546011,0.218447748819987,0.6726271351191582
"326.0,54.0",582900.899,240.88668793743608,0.21663106282552083,0.6726271351191582
"322.0,56.0",582900.9069999999,247.58933217394963,0.2167132059733073,0.6726271351191582
"318.5,58.5",582900.916,252.449520714584,0.22676912943522134,0.6726271351191582
"314.5,60.5",582900.924,258.6659904022823,0.22702051798502604,0.6726271351191582
"311.0,63.0",582900.9319999999,263.81177464080406,0.24888648986816406,0.6726271351191582
"306.5,65.0",582900.941,270.10198277569674,0.25290997823079425,0.6726271351191582
"302.5,67.5",582900.9489999999,276.0238517537562,0.26308759053548175,0.6726271351191582
