Coordinates,Timestamp,Velocity,force,azimuth
"267.0,86.0",582641.838,0.0,0.3333333333333333,0.6298720081660414
"266.5,84.5",582641.847,175.6820929769416,0.3333333333333333,0.6298720081660414
"266.0,83.5",582641.855,158.3872002792546,0.18338330586751303,0.6298720081660414
"265.5,83.0",582641.8629999999,134.16407914978754,0.07092081705729167,0.6298720081660414
"264.5,82.5",582641.872,126.50478339430533,0.13986345926920574,0.6298720081660414
"264.0,82.5",582641.8799999999,109.75648189728719,0.2634020487467448,0.6298720081660414
"263.5,82.5",582641.884,107.60320589591343,0.22189369201660156,0.6298720081660414
"262.5,82.5",582641.892,105.57179861300749,0.19180399576822918,0.6298720081660414
"261.0,83.5",582641.901,103.1746032310363,0.1718157450358073,0.6298720081660414
"259.5,85.0",582641.909,106.56863345926448,0.14281272888183594,0.6298720081660414
"257.5,86.5",582641.9169999999,120.41960513907057,0.12853062947591146,0.6298720081660414
"255.0,89.0",582641.926,140.56041907299849,0.11146189371744791,0.6298720081660414
"252.5,91.5",582641.9339999999,161.54231703038974,0.09142100016276042,0.6298720081660414
"249.0,94.5",582641.9419999999,191.40412740433433,0.08025830586751302,0.6298720081660414
"245.0,97.5",582641.951,219.68480683144296,0.07148551940917969,0.6298720081660414
"240.5,101.5",582641.9589999999,253.72035441888303,0.07782122294108072,0.6298720081660414
"235.5,105.5",582641.967,287.18811719371155,0.07223676045735677,0.6298720081660414
"230.0,110.0",582641.9759999999,319.5808273064779,0.08033320109049479,0.6298720081660414
"224.0,115.0",582641.9839999999,355.2411639549681,0.07866376241048177,0.6298720081660414
"217.5,120.5",582641.992,391.79581877285034,0.08408317565917969,0.6298720081660414
"211.0,126.0",582642.0009999999,422.200013255949,0.08360989888509114,0.6298720081660414
"204.5,131.0",582642.009,450.3778305024022,0.09550158182779948,0.6298720081660414
"197.5,137.0",582642.0179999999,478.91499043919464,0.09644215901692708,0.6298720081660414
